C,E
8,125
6,90
0,0
22,398
8,146
16,468
11,263
8,500
5,52
0,0
17,416
1,9
17,1146
13,116
0,0
3,38
10,252
9,0
8,117
1,6
7,49
8,173
0,0
11,517
8,240
6,108
6,42
3,29
12,468
10,116
3,28
8,57
6,70
16,840
8,124
0,0
0,0
16,805
27,925
8,146
11,343
12,265
7,6
10,192
0,0
20,523
8,186
8,259
10,167
12,0
0,0
32,1576
9,134
8,234
8,303
0,0
0,0
10,32
16,233
12,136
25,1661
24,1352
2,74
22,523
6,134
1,13
5,37
7,52
4,44
0,86
3,41
25,263
26,991
8,153
4,39
24,777
16,739
