0,1,2
2545,33,79.5
1180,24,40.7
332,18,17.5
42,9,6.0
1192,24,54.2
291,8,24.3
54,8,7.7
364,16,21.4
29,8,3.6
369,13,28.4
71,4,17.8
221,12,15.8
181,11,20.1
94,9,11.8
39,2,9.8
1397,24,53.7
221,9,20.1
61,4,15.3
195,8,9.8
400,8,40.0
286,20,22.0
1223,27,34.0
751,7,57.8
10,4,1.7
69,6,9.9
124,6,20.7
251,11,5.2
189,5,31.5
286,8,23.8
192,11,14.8
123,6,17.6
399,10,33.3
302,10,33.6
181,8,22.6
49,10,6.1
178,8,19.8
234,8,16.7
2708,30,48.4
288,18,12.0
406,17,27.1
158,8,15.8
980,27,31.6
151,7,21.6
273,8,15.2
20,1,5.0
1668,28,42.8
56,9,9.3
729,16,0.0
6,1,2.0
531,16,21.2
235,8,18.1
265,8,18.9
321,8,20.1
39,3,7.8
903,24,33.4
207,6,41.4
246,11,27.3
75,7,10.7
1254,16,44.8
160,8,13.3
81,7,11.6
28,4,1.9
875,27,29.2
880,16,55.0
274,8,18.3
70,7,8.8
531,28,16.1
36,6,5.1
321,12,15.3
38,7,4.8
542,13,41.7
30,4,7.5
9,2,1.8
203,8,22.6
651,34,32.6
444,6,74.0
9,2,4.5
540,16,28.4
1202,24,37.6
18,3,9.0
118,10,7.9
1599,30,47.0
23,1,7.7
10,1,10.0
468,12,26.0
93,7,11.6
9,4,3.0
272,8,34.0
1278,24,45.6
100,6,10.0
72,4,18.0
69,4,13.8
151,7,16.8
67,4,9.6
47,5,9.4
125,8,15.6
90,6,15.0
398,22,39.8
146,8,14.6
468,16,42.5
263,11,18.8
500,8,50.0
52,5,7.4
416,17,26.0
9,1,9.0
1146,17,52.1
116,13,11.6
38,3,19.0
252,10,19.4
117,8,10.6
6,1,6.0
49,7,6.1
173,8,15.7
517,11,47.0
240,8,24.0
108,6,36.0
42,6,14.0
29,3,7.3
468,12,26.0
116,10,19.3
28,3,4.7
57,8,6.3
70,6,11.7
840,16,44.2
124,8,11.3
805,16,89.4
925,27,25.7
146,8,16.2
343,11,26.4
265,12,0.0
6,7,2.0
192,10,16.0
523,20,20.1
186,8,8.1
259,8,16.2
167,10,18.6
1576,32,35.0
134,9,14.9
234,8,23.4
303,8,33.7
32,10,3.6
233,16,13.7
136,12,12.4
1661,25,42.6
1352,24,45.1
74,2,24.7
523,22,20.9
134,6,19.1
13,1,13.0
37,5,7.4
52,7,17.3
44,4,0.0
86,0,14.3
41,3,6.8
263,25,9.7
991,26,32.0
153,8,17.0
39,4,9.8
777,24,32.4
739,16,37.0
